season,home_team,home_conference,home_score,away_team,away_conference,away_score,lines,spread,formatted_spread,spread_open,over_under,
2018.0,Texas A&M,SEC,52.0,NC State,ACC,13.0,1,-7.5,Texas A&M,,58.0,
2018.0,Nevada,Mountain West,16.0,Arkansas State,Sun Belt,13.0,1,-2.0,Nevada,,58.0,
2018.0,Clemson,SEC,44.0,Alabama,ACC,16.0,0,-5.5,Alabama,,57.5,
2018.0,Oklahoma State,Big 12,38.0,Missouri,SEC,33.0,0,9.0,Missouri,,73.0,
2018.0,BYU,FBS Independents,49.0,Western Michigan,Mid-American,18.0,1,-10.0,BYU,,52.0,
2018.0,Marshall,American Athletic,38.0,South Florida,Conference USA,20.0,1,3.0,Marshall,,50.0,
2018.0,Utah State,Conference USA,52.0,North Texas,Mountain West,13.0,1,7.0,Utah State,,67.5,
,,,,,,,0.5789473684210527,,,,,
2019.0,Kent State,Mid-American,51.0,Utah State,Mountain West,41.0,0,7.0,Utah State,,71.5,
2019.0,Washington,Pac-12,38.0,Boise State,Mountain West,7.0,1,-3.5,Washington,,47.5,
2019.0,Appalachian State,Conference USA,31.0,UAB,Sun Belt,17.0,1,17.0,Appalachian State,,48.0,
2019.0,San Diego State,Mountain West,48.0,Central Michigan,Mid-American,11.0,1,-3.5,San Diego State,,41.0,
2019.0,Liberty,Sun Belt,23.0,Georgia Southern,FBS Independents,16.0,0,-4.5,Georgia Southern,,60.0,
2019.0,Florida Atlantic,Conference USA,52.0,SMU,American Athletic,28.0,0,7.0,SMU,,63.5,
2019.0,Arkansas State,Sun Belt,34.0,Florida International,Conference USA,26.0,0,1.0,Florida International,,61.0,
2019.0,Michigan State,ACC,27.0,Wake Forest,Big Ten,21.0,1,3.5,Michigan State,,52.0,
2019.0,Penn State,Big Ten,53.0,Memphis,American Athletic,39.0,1,-6.5,Penn State,,60.5,
2019.0,Louisville,ACC,38.0,Mississippi State,SEC,28.0,0,4.5,Mississippi State,,64.5,
2019.0,Buffalo,Conference USA,31.0,Charlotte,Mid-American,9.0,1,7.0,Buffalo,,51.5,
2019.0,UCF,Conference USA,48.0,Marshall,American Athletic,25.0,1,15.5,UCF,,59.5,
2019.0,Hawai'i,FBS Independents,38.0,BYU,Mountain West,34.0,0,-2.5,BYU,,65.0,
2019.0,Louisiana Tech,ACC,14.0,Miami,Conference USA,0.0,0,-7.0,Miami,,50.0,
2019.0,Pittsburgh,Mid-American,34.0,Eastern Michigan,ACC,30.0,1,12.5,Pittsburgh,,51.5,
2019.0,Iowa,Big Ten,49.0,USC,Pac-12,24.0,0,1.0,USC,,54.5,
2019.0,Texas A&M,SEC,24.0,Oklahoma State,Big 12,21.0,1,-4.5,Texas A&M,,56.0,
2019.0,North Carolina,American Athletic,55.0,Temple,ACC,13.0,1,6.0,North Carolina,,57.0,
2019.0,California,Big Ten,35.0,Illinois,Pac-12,20.0,1,6.5,California,,48.0,
2019.0,Texas,Big 12,38.0,Utah,Pac-12,10.0,0,7.0,Utah,,56.5,
